0, 27988
1, 27984
2, 27985
3, 27989
4, 27985
5, 27987
6, 27984
7, 27986
8, 27986
9, 27982
10, 27990
11, 27981
12, 27986
13, 27986
14, 27990
15, 27987
16, 27984
17, 27984
18, 27990
19, 27991
20, 27986
21, 27986
22, 27988
23, 27987
24, 27988
25, 27985
26, 27987
27, 27986
28, 27984
29, 27988
30, 27986
31, 27988
32, 27986
33, 27985
34, 27985
35, 27982
36, 27991
37, 27987
38, 27990
39, 27988
40, 27987
41, 27988
42, 27988
43, 27985
44, 27990
45, 27990
46, 27991
47, 27989
48, 27988
49, 27990
50, 27989
51, 27989
52, 27983
53, 27989
54, 27991
55, 27989
56, 27990
57, 27988
58, 27990
59, 27988
60, 27988
61, 27991
62, 27990
63, 27986
64, 27992
65, 27991
66, 27992
67, 27989
68, 27989
69, 27988
70, 27992
71, 27989
72, 27992
73, 27993
74, 27991
75, 27991
76, 27994
77, 27994
78, 27988
79, 27991
80, 27990
81, 27992
82, 27992
83, 27989
84, 27990
85, 27994
86, 27989
87, 27989
88, 27991
89, 27993
90, 27994
91, 27991
92, 27992
93, 27987
94, 27989
95, 27989
96, 27991
97, 27992
98, 27988
99, 27992
100, 27993
101, 27989
102, 27992
103, 27994
104, 27989
105, 27996
106, 27996
107, 27993
108, 27990
109, 27990
110, 27987
111, 27988
112, 27992
113, 27992
114, 27994
115, 27989
116, 27989
117, 27995
118, 27996
119, 27994
120, 27991
121, 27989
122, 27989
123, 27992
124, 27991
125, 27993
126, 27992
127, 27993
128, 27992
129, 27993
130, 27993
131, 27990
132, 27993
133, 27993
134, 27995
135, 27995
136, 27996
137, 27992
138, 27994
139, 27994
140, 27993
141, 27996
142, 27990
143, 27996
144, 27995
145, 27994
146, 27994
147, 27991
148, 27996
149, 27992
150, 27996
151, 27990
152, 27996
153, 27995
154, 27993
155, 27993
156, 27998
157, 27996
158, 27990
159, 27997
160, 27994
161, 27993
162, 27992
163, 27993
164, 27995
165, 27995
166, 27995
167, 27995
168, 27998
169, 27992
170, 27995
171, 27992
172, 27994
173, 27995
174, 27993
175, 27996
176, 27994
177, 27993
178, 27992
179, 27998
180, 27996
181, 27996
182, 27995
183, 27994
184, 27991
185, 27996
186, 27994
187, 27994
188, 27998
189, 27998
190, 27993
191, 27995
192, 27997
193, 27994
194, 27995
195, 27994
196, 27994
197, 27997
198, 27998
199, 27994
200, 27995
201, 27998
202, 27995
203, 27997
204, 27997
205, 28000
206, 27994
207, 28000
208, 27999
209, 27994
210, 27999
211, 27997
212, 27993
213, 27999
214, 27999
215, 27992
216, 27997
217, 27999
218, 27997
219, 27998
220, 27996
221, 27995
222, 27995
223, 27994
224, 27994
225, 27996
226, 27998
227, 27996
228, 27997
229, 27995
230, 27999
231, 27999
232, 27999
233, 27997
234, 27998
235, 27996
236, 27997
237, 27997
238, 28001
239, 27998
240, 27999
241, 27996
242, 27998
243, 27997
244, 27993
245, 27997
246, 27995
247, 27999
248, 28000
249, 28001
250, 27997
251, 27995
252, 27999
253, 27998
254, 28001
255, 28000
256, 27999
257, 27996
258, 28001
259, 27998
260, 27998
261, 28002
262, 27999
263, 28000
264, 28002
265, 27993
266, 27998
267, 27997
268, 28000
269, 27999
270, 27996
271, 27999
272, 28001
273, 27996
274, 27996
275, 28001
276, 28002
277, 27994
278, 27996
279, 27993
280, 28001
281, 27998
282, 28000
283, 27998
284, 27999
285, 27997
286, 27995
287, 27996
288, 27995
289, 28000
290, 27996
291, 28002
292, 27999
293, 27993
294, 28000
295, 28000
296, 28000
297, 28000
298, 27998
299, 27999
300, 27995
301, 27999
302, 27999
303, 27993
304, 28001
305, 27997
306, 28000
307, 28002
308, 28003
309, 27995
310, 27995
311, 27999
312, 27998
313, 28001
314, 28000
315, 28001
316, 27999
317, 28001
318, 27995
